,LİSE,WEB,ADRES
44,ADIYAMAN - KAHTA - Kahta Narince Çok Programlı Anadolu Lisesi,http://narincecpal.meb.k12.tr/meb_iys_dosyalar/02/06/709983/okulumuz_hakkinda.html,Adres NARİNCE KÖYÜ LİSE BİNASI SİTESİ YENİ OKUL BİNASI BLOK NO 86 1 İÇ KAPI NO 1 KAHTA ADIYAMAN
45,ADIYAMAN - KAHTA - MUSTAFA YARDIMCI ANADOLU LİSESİ,http://mustafayardmcanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/06/765489/okulumuz_hakkinda.html,Adres CAMİ MAH RECEP TAYYİP ERDOĞAN CAD NO 240A KAHTA ADIYAMAN
46,ADIYAMAN - KAHTA - Şehit Yunus Uğur Anadolu Lisesi,http://767059.meb.k12.tr/meb_iys_dosyalar/02/06/767059/okulumuz_hakkinda.html,YAVUZ SELİM MAH 5041 SK NO: 13 İÇ KAPI NO: 2 KAHTA ADIYAMAN
47,ADIYAMAN - MERKEZ - Adıyaman Anadolu Lisesi,http://adiyamananadolu.meb.k12.tr/meb_iys_dosyalar/02/01/113929/okulumuz_hakkinda.html,YENİ SANAYİ MAH HISNI MANSUR 2 ÇEVRE YOLU CAD NO 603 İÇ KAPI NO 1 MERKEZ ADIYAMAN
48,ADIYAMAN - MERKEZ - Esentepe Anadolu Lisesi,http://adiyamanesentepeanadolu.meb.k12.tr/meb_iys_dosyalar/02/01/253251/okulumuz_hakkinda.html,Esentepe Mah 3203 Sok Esentepe Anadolu Lisesi Sitesi E Blok No 2A İç Kapı No A
49,ADIYAMAN - MERKEZ - Adıyaman Mesleki ve Teknik Anadolu Lisesi,http://adiyamaneml.meb.k12.tr/meb_iys_dosyalar/02/01/113930/okulumuz_hakkinda.html,Varlık Mah Mehmetcik cad No51 B Merkez ADIYAMAN
50,ADIYAMAN - MERKEZ - Adıyaman Fen Lisesi,http://adiyamanfenlisesi.meb.k12.tr/meb_iys_dosyalar/02/01/959458/okulumuz_hakkinda.html,Adres Adıyaman Fen Lisesi Esentepe Mah 3202 Sok No2 A 02040 Merkez ADIYAMAN
51,ADIYAMAN - MERKEZ - Adıyaman Yunus Emre Mesleki ve Teknik Anadolu Lisesi,http://adiyamansml.meb.k12.tr/meb_iys_dosyalar/02/01/962652/okulumuz_hakkinda.html,YUNUS EMRE MAHALLESİ 2994 SOKAK NO2 MERKEZ ADIYAMAN
52,ADIYAMAN - MERKEZ - Adıyaman Ticaret Mesleki ve Teknik Anadolu Lisesi,http://ticaretmeslek.meb.k12.tr/meb_iys_dosyalar/02/01/113954/okulumuz_hakkinda.html,Fatih Mah Malatya Cad 22152 Villa Sokak No2
53,ADIYAMAN - MERKEZ - Adıyaman Güzel Sanatlar Lisesi,http://adiyamanguzelsanatlar.meb.k12.tr/meb_iys_dosyalar/02/01/322285/okulumuz_hakkinda.html,Adres Esentepe Mah Toki Yolu Üzeri Adıyaman
54,ADIYAMAN - MERKEZ - Adıyaman Anadolu İmam-Hatip Lisesi,http://adiyamanihl.meb.k12.tr/meb_iys_dosyalar/02/01/113966/okulumuz_hakkinda.html,Adres Siteler Mahallesi Atatürk Bulvarı Devdağlar Petrol Karşısı Merkez ADIYAMAN
55,ADIYAMAN - MERKEZ - Atakent Çok Programlı Anadolu Lisesi,http://atakentcpl.meb.k12.tr/meb_iys_dosyalar/02/01/957293/okulumuz_hakkinda.html,Atakent Beldesi Büyükboyalı Mah AdıyamanŞanlıurfa Yolu 27 Kilometre ADIYAMAN
56,ADIYAMAN - MERKEZ - Atatürk Kız Anadolu İmam Hatip Lisesi,http://atalise02.meb.k12.tr/meb_iys_dosyalar/02/01/113917/okulumuz_hakkinda.html,Adres Bahçelievler Mah 978 Sok No3 Merkez ADIYAMAN
57,ADIYAMAN - MERKEZ - Bilgi Anadolu Lisesi,http://bilgianadolu.meb.k12.tr/meb_iys_dosyalar/02/01/964317/okulumuz_hakkinda.html,Altınşehir Mahallesi Bağdere Caddesi No 18 Merkez Adıyaman
58,ADIYAMAN - MERKEZ - Adıyaman Erdemir Mesleki ve Teknik Anadolu Lisesi,http://erdemirmetal.meb.k12.tr/meb_iys_dosyalar/02/01/747623/okulumuz_hakkinda.html,Karapınar Mah Adnan Menderes Cad Merkez Adıyaman
59,ADIYAMAN - MERKEZ - Fatih Anadolu Lisesi,http://fatihanadolu.meb.k12.tr/meb_iys_dosyalar/02/01/964318/okulumuz_hakkinda.html,YEŞİL YURT MAH KAVİ CAD İL SAĞLIK MÜDÜRLÜĞÜ Eski Diş Hastanesi KARŞISI
60,ADIYAMAN - MERKEZ - Fevzi Çakmak Anadolu Lisesi,http://fevzicakmakanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/01/967665/okulumuz_hakkinda.html,Adres Fatih mah sakarya caddesi 2206 sokak Adıyaman merkez
61,ADIYAMAN - MERKEZ - Hüsnü M.Özyeğin Anadolu Lisesi,http://ozyeginanadolu.meb.k12.tr/meb_iys_dosyalar/02/01/972778/okulumuz_hakkinda.html,Adres Bahçecik Mahallesi Eski Samsat Caddesi 1830 Sokak No1 Eski Mezarlık Doğusu
62,ADIYAMAN - MERKEZ - Borsa İstanbul Anadolu Lisesi,http://borsaistanbulanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/01/973791/okulumuz_hakkinda.html,Sümer Evler Mah TMO Arkası Merkez Adıyaman
